34162,احفاد بو رحيل,الشرقية,15,بنغازي,الثالثة,3,11,قمينس,قمينس,قمينس,عام,19.98595,31.85745278,
34081,بو فاخرة,الشرقية,15,بنغازي,الثالثة,3,8,بنغازي,بوفاخرة,البركة,عام,19.97583333,31.94508333,
34082,التربة,الشرقية,15,بنغازي,الثالثة,3,8,بنغازي,بوفاخرة,البركة,عام,19.94996944,31.87248333,
35029,آدم النويحف,الشرقية,16,اجدابيا,الرابعة,4,13,اجدابيا,امرير قابس,اجدابيا,عام,19.931288,30.622441,
35032,أبوالقاسم الزهراوي,الشرقية,16,اجدابيا,الرابعة,4,14,البريقة,خور اوقيدة,البريقة,عام,19.87835,30.33861,
35019,خالد بن الوليد,الشرقية,16,اجدابيا,الرابعة,4,14,البريقة,البريقة الجديدة,البريقة,عام,19.7318,30.47898,
35020,المجد,الشرقية,16,اجدابيا,الرابعة,4,14,البريقة,البريقة الجديدة,البريقة,عام,19.72256,30.48647,
35024,العرقوب,الشرقية,16,اجدابيا,الرابعة,4,14,البريقة,العرقوب,البريقة,عام,19.666614,30.324747,
35028,الوحدة العربية,الشرقية,16,اجدابيا,الرابعة,4,14,البريقة,المرسى,البريقة,عام,19.627812,30.391594,
35027,شهداء البريقة الثانوية,الشرقية,16,اجدابيا,الرابعة,4,14,البريقة,المرسى,البريقة,عام,19.57032,30.4085,
35031,موسى عريش,الشرقية,16,اجدابيا,الرابعة,4,14,البريقة,بشر,البريقة,عام,19.43957,30.29783,
34049,الوفاء,الشرقية,15,بنغازي,الثالثة,3,8,بنغازي,بنغازي الجديدة,البركة,عام,20.118665°, 32.085621°,
33048,المجاهد الناجي,الشرقية,14,البيضاء,التانية,2,5,البيضاء,مراوة,مراوة,عام,21.4047,32.485,
33097,محمد عسل,الشرقية,14,البيضاء,التانية,2,7,قصر ليبيا,قصر ليبيا,قصر ليبيا,عام,21.400757,32.613907,
33084,موسي بكار,الشرقية,14,البيضاء,التانية,2,7,قصر ليبيا,البياضة الشرقية,البياضة,عام,21.289389,32.587593,
35050,مدرسة عبد الله بن أبي السرح,الشرقية,16,اجدابيا,الرابعة,4,15,أوجلة,عبد الله بن أبي السرح - اوجلة,اوجلة,عام,21.28395,29.108833,
33063,مدور الزيتون,الشرقية,14,البيضاء,التانية,2,6,المرج,المرج,مدور الزيتون,عام,21.2792,32.4494,
33088,شهداء اسدوس,الشرقية,14,البيضاء,التانية,2,7,قصر ليبيا,الساحل,اسدوس,عام,21.270368,32.686079,
33083,عبد النبي المزيني,الشرقية,14,البيضاء,التانية,2,7,قصر ليبيا,البياضة الشرقية,البياضة,عام,21.254898,32.562814,
33076,شهداء بوعرق,الشرقية,14,البيضاء,التانية,2,6,المرج,تاكنس الشرقية,المرج,عام,21.1235,32.4771,
33091,ابوبكر الكيش,الشرقية,14,البيضاء,التانية,2,7,قصر ليبيا,بطة,بطة,عام,21.108747,32.660885,
33090,بطة الإعدادية,الشرقية,14,البيضاء,التانية,2,7,قصر ليبيا,بطة,بطة,عام,21.108378,32.657511,
